,theta,beta
0,2.099635593930061,0.4779076131076811
1,2.0890404240670746,0.4660832499620292
2,2.0788708214520044,0.45429560293553445
3,2.069108549032257,0.442543481079051
4,2.0597368705662094,0.430825719224899
5,2.0507403853093953,0.41914117681106783
6,2.0421048862313027,0.4074887367582642
7,2.0338172379162778,0.3958673043965309
8,2.0258652709952916,0.384275806438381
9,2.0182376905094284,0.37271318999559294
10,2.010923996063714,0.3611784216369969
11,2.00391441199427,0.3496704864847559
12,1.9971998260721389,0.3381883873467992
13,1.9907717355148087,0.3267311438832154
14,1.9846221992749777,0.3152977918045421
15,1.978743795744144,0.30388738210001703
16,1.9731295851431536,0.29249898029396726
17,1.967773075987699,0.28113166572862036
18,1.9626681951074483,0.2697845308717193
19,1.9578092607788502,0.25845668064741156
20,1.9531909585953962,0.2471472317889693
21,1.9488083197529384,0.23585531221197228
22,1.9446567014774212,0.22458006040665784
23,1.94073176935506,0.21332062484820843
24,1.9370294813649869,0.20207616342380696
25,1.9335460734360739,0.19084584287534906
26,1.930278046376607,0.1796288382567495
27,1.9272221540454746,0.16842433240483223
28,1.9243753926488658,0.1572315154228336
29,1.9217349910646284,0.14604958417559236
30,1.919298402106798,0.13487774179553302
31,1.9170632946530404,0.12371519719858923
32,1.915027546572702,0.11256116460923703
33,1.9131892383947617,0.10141486309384397
34,1.9115466476675929,0.0902755161015588
35,1.9100982439671013,0.07914235101199538
36,1.9088426845153919,0.06801459868897985
37,1.9077788103782813,0.05689149303965167
38,1.906905643214893,0.045772270578225346
39,1.906222382555935,0.03465616999372968
40,1.9057284035909898,0.023542431721059392
41,1.905423255451768,0.012430297514677162
42,1.9053066599779873,0.001319010024317538
43,1.905378510957922,-0.009792187627953869
44,1.9056388738389378,-0.02090405226996611
45,1.9060879859059137,-0.0320173411015932
46,1.9067262569286427,-0.04313281211746619
47,1.9075542702824446,-0.05425122453089099
48,1.9085727845499685,-0.06537333919961047
49,1.9097827356145567,-0.07649991905406535
50,1.9111852392592201,-0.08763172952880885
51,1.9127815942900952,-0.09876953899773806
52,1.914573286205771,-0.10991411921382511
53,1.91656199143757,-0.12106624575403505
54,1.918749582194197,-0.13222669847013707
55,1.921138131944005,-0.14339626194613453
56,1.92372992157813,-0.1545757259630567
57,1.926527446302889,-0.16576588597187997
58,1.9295334233156787,-0.1769675435753675
59,1.9327508003293499,-0.18818150701965083
60,1.9361827650175139,-0.19940859169639605
61,1.9398327554652948,-0.21064962065644424
62,1.9437044717208138,-0.22190542513584136
63,1.9478018885597175,-0.2331768450952157
64,1.9521292695894044,-0.24446472977350694
65,1.9566911828396991,-0.25576993825709476
66,1.9614925180109024,-0.26709334006542695
67,1.9665385055745865,-0.2784358157543012
68,1.9718347379559198,-0.2897982575380165
69,1.9773871930629001,-0.301181569931675
70,1.9832022604720798,-0.31258667041498023
71,1.989286770632507,-0.3240144901189625
72,1.995648027512659,-0.33546597453713517
73,2.0022938451909633,-0.3469420842626813
74,2.0092325889780227,-0.3584437957533599
75,2.016473221769333,-0.3699721021259327
76,2.02402535645762,-0.3815280139820166
77,2.0318993153903495,-0.3931125602673932
78,2.040106198051946,-0.4047267891669385
79,2.0486579583847258,-0.4163717690374773
80,2.0575674934463004,-0.42804858938102003
81,2.0668487454539983,-0.4397583618610128
82,2.0765168196960646,-0.45150222136440377
83,2.0865881213220314,-0.4632813271125405
84,2.097080514678491,-0.47509686382410904
85,2.1080135096754153,-0.48695004293357924
86,2.11940848067714,-0.498842103868855
87,2.1312889246819973,-0.5107743153921185
88,2.1436807671359146,-0.5227479770081523
89,2.156612725717973,-0.5347644204447517
90,2.156775338501231,-0.5347644204447519
91,2.147965980325382,-0.536616415590569
92,2.1279293556783445,-0.5406493607664338
93,2.102576771948965,-0.5446825059796483
94,2.073823765331679,-0.5464531179638024
95,2.041021528655274,-0.5436363261954105
96,2.0023793983449165,-0.5339804783751987
97,1.956175271562424,-0.515410325611692
98,1.901665066949346,-0.4860651273393568
99,1.8396798388822804,-0.44431067281237535
100,1.7729467460154495,-0.3887974691796523
101,1.7061511887937444,-0.318643048077601
102,1.645686456634241,-0.23379188621339564
103,1.5989659483967964,-0.13552460019934753
104,1.5731819058207188,-0.02692675720115023
105,1.5736142657350811,0.08703974292486572
106,1.6020168550105627,0.20016958929415662
107,1.6558587521379833,0.30623971417298246
108,1.7288575859213227,0.40023486682946374
109,1.812507919047146,0.4789786589849414
110,1.8978822645907076,0.5410565853583498
111,1.977124834574452,0.5863398579015892
112,2.0443859609781976,0.6154727235258952
113,2.096209201630166,0.6295185650796703
114,2.1315117945829423,0.6297939933261881
115,2.151133869638417,0.617828247306273
116,2.156718517514242,0.5953480404863438
117,2.1488632186604546,0.5641894532098157
118,2.1249028594352763,0.5260951799581517
119,2.076892813435493,0.48249262861678477
