rand_order,run_index,date,operator,body_h_cm,step_len_cm,speed_cm_per_s,speed_m_per_s,foot_lift_cm,distance_m,time_s,avg_voltage_V,avg_current_A,energy_Wh,avg_power_W,CoT,Wh_per_m,SOC_start_percent,SOC_end_percent,temp_C,notes,replicate,unique_id
29,12,,,20,30,30,0.3,8,,,,,,,,,,,,,1,12_1
29,12,,,20,30,30,0.3,8,,,,,,,,,,,,,2,12_2
29,12,,,20,30,30,0.3,8,,,,,,,,,,,,,3,12_3
30,35,,,30,15,20,0.2,8,,,,,,,,,,,,,1,35_1
30,35,,,30,15,20,0.2,8,,,,,,,,,,,,,2,35_2
30,35,,,30,15,20,0.2,8,,,,,,,,,,,,,3,35_3
31,2,,,20,15,10,0.1,8,,,,,,,,,,,,,1,2_1
31,2,,,20,15,10,0.1,8,,,,,,,,,,,,,2,2_2
31,2,,,20,15,10,0.1,8,,,,,,,,,,,,,3,2_3
32,45,,,30,40,5,0.05,8,,,,,,,,,,,,,1,45_1
32,45,,,30,40,5,0.05,8,,,,,,,,,,,,,2,45_2
32,45,,,30,40,5,0.05,8,,,,,,,,,,,,,3,45_3
33,22,,,25,20,10,0.1,8,,,,,,,,,,,,,1,22_1
33,22,,,25,20,10,0.1,8,,,,,,,,,,,,,2,22_2
33,22,,,25,20,10,0.1,8,,,,,,,,,,,,,3,22_3
34,3,,,20,15,20,0.2,8,,,,,,,,,,,,,1,3_1
34,3,,,20,15,20,0.2,8,,,,,,,,,,,,,2,3_2
34,3,,,20,15,20,0.2,8,,,,,,,,,,,,,3,3_3
35,37,,,30,20,5,0.05,8,,,,,,,,,,,,,1,37_1
35,37,,,30,20,5,0.05,8,,,,,,,,,,,,,2,37_2
35,37,,,30,20,5,0.05,8,,,,,,,,,,,,,3,37_3
36,36,,,30,15,30,0.3,8,,,,,,,,,,,,,1,36_1
36,36,,,30,15,30,0.3,8,,,,,,,,,,,,,2,36_2
36,36,,,30,15,30,0.3,8,,,,,,,,,,,,,3,36_3
37,24,,,25,20,30,0.3,8,,,,,,,,,,,,,1,24_1
37,24,,,25,20,30,0.3,8,,,,,,,,,,,,,2,24_2
37,24,,,25,20,30,0.3,8,,,,,,,,,,,,,3,24_3
38,42,,,30,30,10,0.1,8,,,,,,,,,,,,,1,42_1
38,42,,,30,30,10,0.1,8,,,,,,,,,,,,,2,42_2
38,42,,,30,30,10,0.1,8,,,,,,,,,,,,,3,42_3
39,11,,,20,30,20,0.2,8,,,,,,,,,,,,,1,11_1
39,11,,,20,30,20,0.2,8,,,,,,,,,,,,,2,11_2
39,11,,,20,30,20,0.2,8,,,,,,,,,,,,,3,11_3
40,23,,,25,20,20,0.2,8,,,,,,,,,,,,,1,23_1
40,23,,,25,20,20,0.2,8,,,,,,,,,,,,,2,23_2
40,23,,,25,20,20,0.2,8,,,,,,,,,,,,,3,23_3
41,19,,,25,15,20,0.2,8,,,,,,,,,,,,,1,19_1
41,19,,,25,15,20,0.2,8,,,,,,,,,,,,,2,19_2
41,19,,,25,15,20,0.2,8,,,,,,,,,,,,,3,19_3
42,48,,,30,40,30,0.3,8,,,,,,,,,,,,,1,48_1
42,48,,,30,40,30,0.3,8,,,,,,,,,,,,,2,48_2
42,48,,,30,40,30,0.3,8,,,,,,,,,,,,,3,48_3
43,21,,,25,20,5,0.05,8,,,,,,,,,,,,,1,21_1
43,21,,,25,20,5,0.05,8,,,,,,,,,,,,,2,21_2
43,21,,,25,20,5,0.05,8,,,,,,,,,,,,,3,21_3
44,8,,,20,20,30,0.3,8,,,,,,,,,,,,,1,8_1
44,8,,,20,20,30,0.3,8,,,,,,,,,,,,,2,8_2
44,8,,,20,20,30,0.3,8,,,,,,,,,,,,,3,8_3
45,43,,,30,30,20,0.2,8,,,,,,,,,,,,,1,43_1
45,43,,,30,30,20,0.2,8,,,,,,,,,,,,,2,43_2
45,43,,,30,30,20,0.2,8,,,,,,,,,,,,,3,43_3
46,15,,,20,40,20,0.2,8,,,,,,,,,,,,,1,15_1
46,15,,,20,40,20,0.2,8,,,,,,,,,,,,,2,15_2
46,15,,,20,40,20,0.2,8,,,,,,,,,,,,,3,15_3
47,29,,,25,40,5,0.05,8,,,,,,,,,,,,,1,29_1
47,29,,,25,40,5,0.05,8,,,,,,,,,,,,,2,29_2
47,29,,,25,40,5,0.05,8,,,,,,,,,,,,,3,29_3
48,39,,,30,20,20,0.2,8,,,,,,,,,,,,,1,39_1
48,39,,,30,20,20,0.2,8,,,,,,,,,,,,,2,39_2
48,39,,,30,20,20,0.2,8,,,,,,,,,,,,,3,39_3
